City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,11.5,light rain
79,Manhattan,US,40.7834,-73.9662,89.62,62,1,4.61,clear sky
80,General Roca,AR,-39.0333,-67.5833,54.0,30,0,9.95,clear sky
81,Vestmannaeyjar,IS,63.4427,-20.2734,58.19,82,20,17.27,few clouds
82,Chokurdakh,RU,70.6333,147.9167,41.67,72,100,12.82,overcast clouds
83,Asbe Teferi,ET,9.0833,40.8667,68.9,72,44,7.58,light rain
84,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,few clouds
85,Disna,BY,55.568,28.1971,75.36,57,99,12.28,overcast clouds
86,Kenai,US,60.5544,-151.2583,47.03,93,90,0.0,light rain
87,Tasiilaq,GL,65.6145,-37.6368,48.36,80,28,3.02,scattered clouds
88,Telimele,GN,10.9167,-13.3333,75.65,92,99,4.92,moderate rain
89,Nalut,LY,30.3333,10.85,99.57,14,4,11.99,clear sky
90,Yulara,AU,-25.2406,130.9889,58.84,29,8,8.05,clear sky
91,Lebu,CL,-37.6167,-73.65,49.98,76,100,4.14,overcast clouds
92,Bowen,AU,-20.0167,148.2333,65.75,88,71,12.21,broken clouds
93,Moranbah,AU,-22.0016,148.0466,59.47,87,47,10.36,scattered clouds
94,Saint George,US,37.1041,-113.5841,88.43,38,1,3.0,clear sky
95,Carnarvon,AU,-24.8667,113.6333,60.87,53,0,11.5,clear sky
96,Gafanha Da Encarnacao,PT,40.6181,-8.733,82.27,76,95,13.2,overcast clouds
97,Namibe,AO,-15.1961,12.1522,68.63,88,90,11.5,overcast clouds
98,Narsaq,GL,60.9167,-46.05,52.02,75,100,2.84,overcast clouds
99,Iskateley,RU,67.6803,53.1512,56.88,94,100,11.9,overcast clouds
100,Cherskiy,RU,68.75,161.3,41.85,80,66,7.52,broken clouds
101,Lodeynoye Pole,RU,60.726,33.5531,61.0,93,100,6.71,overcast clouds
102,Awbari,LY,26.5921,12.7805,97.25,14,0,15.39,clear sky
103,Butaritari,KI,3.0707,172.7902,82.54,75,61,9.22,light rain
104,Waipawa,NZ,-41.4122,175.5153,38.3,86,16,5.06,few clouds
105,Caravelas,BR,-17.7125,-39.2481,78.3,54,12,7.9,few clouds
106,Faya,SA,18.3851,42.4509,84.72,27,64,11.16,broken clouds
107,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,12.66,broken clouds
108,Stubbekobing,DK,54.8887,12.041,69.06,76,99,20.83,overcast clouds
109,Grand Gaube,MU,-20.0064,57.6608,73.8,71,0,3.0,clear sky
110,Kang,BW,-23.6752,22.7876,75.9,26,2,14.25,clear sky
111,Lumeje,AO,-11.55,20.7833,89.17,11,4,3.02,clear sky
112,Nemuro,JP,43.3236,145.575,56.68,82,100,12.15,overcast clouds
113,Vostok,RU,46.4856,135.8833,58.14,76,91,2.53,overcast clouds
114,Qaanaaq,GL,77.484,-69.3632,41.79,96,100,3.42,light rain
115,Doka,SD,13.5167,35.7667,80.55,78,94,7.49,overcast clouds
116,Ilulissat,GL,69.2167,-51.1,53.62,87,75,8.05,broken clouds
117,Airai,TL,-8.9266,125.4092,55.42,75,6,3.4,clear sky
118,Hithadhoo,MV,-0.6,73.0833,81.86,75,57,15.39,broken clouds
119,Priamurskiy,RU,48.5217,134.9028,63.01,86,9,2.13,clear sky
120,Pueblo Nuevo,MX,23.3833,-105.3833,65.61,61,3,2.15,clear sky
121,Khatanga,RU,71.9667,102.5,52.29,67,100,3.67,overcast clouds
122,Eyl,SO,7.9803,49.8164,80.1,71,61,25.01,broken clouds
123,Kensington,AU,-33.9167,151.2167,53.15,84,0,5.75,clear sky
124,Perth,AU,-31.9333,115.8333,57.06,89,0,5.75,clear sky
125,Brae,GB,60.3964,-1.353,57.11,74,27,10.89,scattered clouds
126,New Norfolk,AU,-42.7826,147.0587,53.1,62,72,3.0,broken clouds
127,Khorixas,NA,-20.3667,14.9667,86.23,12,0,17.83,clear sky
128,Horta,PT,38.5333,-28.6333,78.44,73,20,20.71,few clouds
129,Dalian,CN,38.9122,121.6022,76.62,78,0,2.24,light rain
130,Mount Isa,AU,-20.7333,139.5,73.17,28,1,8.05,clear sky
131,Srednekolymsk,RU,67.45,153.6833,45.54,94,100,10.31,moderate rain
132,Banfora,BF,10.6333,-4.7667,81.32,76,78,6.02,moderate rain
133,Norman Wells,CA,65.282,-126.8329,51.84,93,90,8.05,light rain
134,Luanda,AO,-8.8368,13.2343,77.0,73,0,9.22,clear sky
135,Sitka,US,57.0531,-135.33,55.29,88,75,6.91,broken clouds
136,Ribeira Grande,PT,38.5167,-28.7,79.2,73,20,20.71,few clouds
137,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,40,12.66,scattered clouds
138,Bac Lieu,VN,9.285,105.7244,81.09,82,100,7.11,overcast clouds
139,Kodiak,US,57.79,-152.4072,51.31,58,90,9.22,overcast clouds
140,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,90,5.75,light intensity drizzle
141,Najran,SA,17.4924,44.1277,95.65,9,7,15.17,clear sky
142,Varnavino,RU,57.4035,45.0916,71.06,50,95,6.31,overcast clouds
143,Arcachon,FR,44.5875,-1.0519,97.41,58,0,11.5,clear sky
144,Mogadishu,SO,2.0371,45.3438,76.87,85,61,18.77,broken clouds
145,Port-Gentil,GA,-0.7193,8.7815,82.36,69,20,13.8,few clouds
146,Dikson,RU,73.5069,80.5464,45.88,100,100,2.39,overcast clouds
147,Puerto Escondido,MX,15.85,-97.0667,86.83,66,1,5.75,clear sky
148,Kokopo,PG,-4.352,152.2633,77.43,87,7,8.99,clear sky
149,Tautira,PF,-17.7333,-149.15,73.42,76,11,10.67,light rain
150,Rocha,UY,-34.4833,-54.3333,55.27,86,100,6.58,overcast clouds
151,Lavrentiya,RU,65.5833,-171.0,44.8,98,100,6.91,light rain
152,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,12.66,overcast clouds
153,Antofagasta,CL,-23.65,-70.4,63.21,55,47,7.65,scattered clouds
154,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,70,10,14.5,clear sky
155,Victoria,HK,22.2855,114.1577,84.25,88,100,1.99,light rain
156,Yauya,PE,-8.9833,-77.3,51.53,63,92,2.71,overcast clouds
157,Riyadh,SA,24.6877,46.7219,109.54,7,70,13.04,broken clouds
158,Fayetteville,US,35.0527,-78.8784,93.11,69,1,1.99,clear sky
159,Korla,CN,41.7597,86.1469,84.04,25,97,9.06,overcast clouds
160,Manokwari,ID,-0.8667,134.0833,77.49,83,62,2.15,broken clouds
161,Codrington,AU,-38.2667,141.9667,46.81,88,7,12.95,clear sky
162,Okhotsk,RU,59.3833,143.3,56.05,93,4,3.56,clear sky
163,Samarai,PG,-10.6167,150.6667,77.92,86,78,17.18,broken clouds
164,Roma,US,43.2128,-75.4557,75.81,79,75,6.91,broken clouds
165,Saint-Philippe,RE,-21.3585,55.7679,72.95,84,44,16.73,light rain
166,Souillac,MU,-20.5167,57.5167,73.78,78,75,11.5,light rain
167,Yar-Sale,RU,66.8333,70.8333,67.06,63,100,16.04,overcast clouds
168,Cartagena,CO,10.3997,-75.5144,83.82,84,40,8.05,scattered clouds
169,Port Said,EG,31.2565,32.2841,84.79,68,0,15.32,clear sky
170,Konin,PL,52.2234,18.2512,80.38,35,2,10.76,clear sky
171,Sisimiut,GL,66.9395,-53.6735,49.01,90,70,15.37,light rain
172,Price,US,39.5994,-110.8107,81.66,21,1,0.0,clear sky
173,Buchanan,LR,5.8808,-10.0467,84.16,64,93,9.37,overcast clouds
174,Mahebourg,MU,-20.4081,57.7,73.69,78,75,11.5,light rain
175,Panzhihua,CN,26.5851,101.7128,70.61,91,100,0.98,overcast clouds
176,Port Hueneme,US,34.1478,-119.1951,82.0,91,90,4.61,mist
177,Trelew,AR,-43.249,-65.3051,58.48,37,29,10.76,scattered clouds
178,Cidreira,BR,-30.1811,-50.2056,62.06,82,47,17.0,moderate rain
179,Lahar,IN,26.1983,78.945,87.76,63,69,9.75,broken clouds
180,Satana,IN,20.5833,74.2,75.49,79,84,10.2,broken clouds
181,Ringe,DK,55.2451,10.4706,71.15,53,69,21.18,broken clouds
182,Arlit,NE,18.7369,7.3853,101.73,21,0,1.97,clear sky
183,Samana,DO,19.2056,-69.3369,85.96,74,40,6.91,scattered clouds
184,Karoi,ZW,-16.8099,29.6925,73.85,27,18,10.25,few clouds
185,Qaqortoq,GL,60.7167,-46.0333,52.3,79,100,5.91,overcast clouds
186,Camopi,GF,3.1655,-52.3158,87.64,54,93,5.14,overcast clouds
187,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.5,28,9,3.89,clear sky
188,Pochutla,MX,15.7432,-96.4661,87.82,65,9,2.64,clear sky
189,Teguldet,RU,57.3064,88.1667,55.42,80,5,5.06,clear sky
190,Sao Filipe,CV,14.8961,-24.4956,75.36,79,81,3.31,broken clouds
191,Arkhangelsk,RU,64.5401,40.5433,66.31,68,20,2.24,few clouds
192,Mbaiki,CF,3.8678,17.9892,86.92,52,41,1.61,scattered clouds
193,Dalianwan,CN,39.0286,121.695,76.73,78,0,2.24,light rain
194,Nadadores,MX,27.05,-101.6,84.88,57,20,0.0,few clouds
195,Porto Novo,BJ,6.4965,2.6036,84.02,63,85,11.7,overcast clouds
196,Mgandu,TZ,-5.95,34.1333,77.99,24,5,10.0,clear sky
197,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,73,20,17.27,few clouds
198,Saint-Pierre,RE,-21.3393,55.4781,73.04,82,75,21.85,light rain
199,Gejiu,CN,23.306,103.1635,58.46,98,100,1.86,overcast clouds
200,Ponta Delgada,PT,37.7333,-25.6667,75.92,78,40,12.66,scattered clouds
201,Zhanaozen,KZ,43.3,52.8,88.02,15,0,11.72,clear sky
202,Chuy,UY,-33.6971,-53.4616,56.86,92,100,7.56,overcast clouds
203,Cayenne,GF,4.9333,-52.3333,87.84,76,75,3.0,broken clouds
204,Kapaa,US,22.0752,-159.319,79.12,88,90,14.97,light rain
205,Sarankhola,BD,22.3082,89.7897,80.56,91,100,4.99,overcast clouds
206,Santa Clara,CU,22.4,-79.9667,78.46,83,75,11.5,moderate rain
207,Georgetown,MY,5.4112,100.3354,82.33,85,20,1.14,few clouds
208,Port Keats,AU,-14.25,129.55,79.14,46,73,4.65,broken clouds
209,Matamoros,MX,25.5333,-103.25,78.91,49,1,0.0,clear sky
210,Palembang,ID,-2.9167,104.7458,76.84,88,100,1.9,light rain
211,Pisco,PE,-13.7,-76.2167,62.65,82,90,8.05,mist
212,Urucara,BR,-2.5364,-57.76,81.07,71,100,2.77,overcast clouds
213,Deputatskiy,RU,69.3,139.9,40.51,78,98,4.81,overcast clouds
214,San Cristobal,VE,7.7669,-72.225,75.38,96,100,3.49,overcast clouds
215,Komsomolskiy,UZ,40.4272,71.7189,81.32,26,2,4.61,clear sky
216,Nanyuki,KE,0.0167,37.0728,63.86,69,73,11.77,light rain
217,North Bend,US,43.4065,-124.2243,61.16,88,90,0.0,overcast clouds
218,East London,ZA,-33.0153,27.9116,58.14,82,20,8.05,few clouds
219,Kautokeino,NO,69.0125,23.0412,57.4,67,99,1.03,overcast clouds
220,Mecca,SA,21.4267,39.8261,102.61,22,42,11.59,scattered clouds
221,Saint Anthony,US,45.0205,-93.218,77.94,47,1,1.01,clear sky
222,Puerto Ayacucho,VE,5.6639,-67.6236,73.83,94,100,4.92,heavy intensity rain
223,Radenci,SI,46.642,16.0378,94.51,31,3,3.49,clear sky
224,Fort Nelson,CA,58.8053,-122.7002,58.59,88,75,0.0,broken clouds
225,Teya,RU,60.3778,92.6267,55.54,94,100,3.06,overcast clouds
226,Lepe,ES,37.2548,-7.2043,97.0,29,4,8.01,clear sky
227,Sayyan,YE,15.1718,44.3244,71.82,46,83,11.52,broken clouds
228,Kavaratti,IN,10.5669,72.642,81.54,77,91,18.12,overcast clouds
229,Henties Bay,NA,-22.116,14.2845,56.86,66,0,7.63,clear sky
230,Kristiansund,NO,63.1115,7.732,55.45,94,75,9.22,light rain
231,Melita,CA,49.2681,-100.9967,72.54,28,5,7.65,clear sky
232,Ahuimanu,US,21.4447,-157.8378,75.45,78,75,9.22,light rain
233,Nanortalik,GL,60.1432,-45.2371,50.31,90,100,7.74,overcast clouds
234,Biltine,TD,14.5333,20.9167,91.29,41,39,7.16,scattered clouds
235,Lesnoy,RU,57.6198,63.0784,72.01,58,2,6.64,clear sky
236,Port Lincoln,AU,-34.7333,135.8667,52.34,65,0,6.22,clear sky
237,Harper,LR,4.375,-7.7169,80.31,60,86,6.87,overcast clouds
238,Shache,CN,38.4167,77.2406,76.21,36,100,5.14,light rain
239,Ucluelet,CA,48.9329,-125.5528,66.09,89,53,7.94,broken clouds
