City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Port Keats,AU,79.14,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
209,Matamoros,MX,78.91,clear sky,25.5333,-103.25,Quinta Belem
210,Palembang,ID,76.84,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
212,Urucara,BR,81.07,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
214,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
215,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
221,Saint Anthony,US,77.94,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
223,Radenci,SI,94.51,clear sky,46.642,16.0378,Radenci
228,Kavaratti,IN,81.54,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
232,Ahuimanu,US,75.45,light rain,21.4447,-157.8378,Paradise Bay Resort
234,Biltine,TD,91.29,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
237,Harper,LR,80.31,overcast clouds,4.375,-7.7169,Screensaver
238,Shache,CN,76.21,light rain,38.4167,77.2406,Delong Hotel
243,Karaton,ID,78.96,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
248,Tefe,BR,80.71,broken clouds,-3.3542,-64.7114,Aracati Hotel
251,Svetlogorsk,BY,79.5,broken clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
253,Jacareacanga,BR,88.27,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
255,Sao Domingos,BR,86.41,clear sky,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
256,Aksu,CN,75.04,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
259,Yangjiang,CN,80.11,moderate rain,21.85,111.9667,HUALUXE Yangjiang City Center
260,Bar Harbor,US,86.94,broken clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
261,Carson City,US,79.12,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
262,Kerema,PG,78.4,overcast clouds,-7.9631,145.7785,Frena Lodge
267,Nurota,UZ,80.69,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
270,Auki,SB,75.43,overcast clouds,-8.7676,160.7034,Auki Motel
273,Kobryn,BY,80.91,broken clouds,52.2138,24.3564,Suvorov-Apartamenty
276,Buala,SB,79.63,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
277,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
278,Northam,GB,75.2,broken clouds,51.0333,-4.2167,Durrant House Hotel
280,Biak,ID,75.24,few clouds,-0.9131,122.8766,Penginapan Kim
286,Starobaltachevo,RU,77.59,scattered clouds,56.0013,55.9213,Uyut
295,Cantagallo,CO,76.78,overcast clouds,7.376,-73.9196,Apartahotel Altamira
303,Murud,IN,78.82,scattered clouds,18.3258,72.965,On Point Plaza
304,Kutum,SD,82.47,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
306,Gilgit,PK,77.5,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
307,Huron,US,77.65,broken clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
308,Hopelchen,MX,83.48,broken clouds,19.7667,-89.85,Hotel Jaguar
310,Faanui,PF,77.92,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
311,Maragogi,BR,77.85,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
313,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
314,Santiago De Cuba,CU,87.42,few clouds,20.0247,-75.8219,Cubanacan San Felix
315,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
316,Silifke,TR,93.24,clear sky,36.3778,33.9344,Ayatekla Hotel
317,Goiatuba,BR,85.55,clear sky,-18.0125,-49.3547,Hotel Barrocos
320,Russell,US,89.06,clear sky,32.3502,-85.1999,Macs
331,Lakhipur,IN,78.57,overcast clouds,26.0299,90.3041,Rajdhani Hotel
332,Tifton,US,85.96,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
333,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
